pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
5000001,1528081939.481561,e g,tcp,192.168.100.150,52526.0,192.168.100.3,80.0,6,548,RST,1528081967.07503,256191,27.59347,0.141996,0.022604,,,0.283991,0.119391,0.1646,,,,,4,2,428,120,0.181202,0.108721,0.036398,1,DoS,TCP
5000002,1528081939.481563,e g,tcp,192.168.100.150,52527.0,192.168.100.3,80.0,6,548,RST,1528081967.07503,256192,27.593468,0.141994,0.022605,,,0.283988,0.119389,0.164599,,,,,4,2,428,120,0.181202,0.108721,0.036398,1,DoS,TCP
5000003,1528081939.481564,e g,tcp,192.168.100.150,52528.0,192.168.100.3,80.0,6,548,RST,1528081967.075031,256193,27.593468,0.141994,0.022605,,,0.283988,0.119389,0.164599,,,,,4,2,428,120,0.181202,0.108721,0.036398,1,DoS,TCP
5000004,1528081939.481565,e g,tcp,192.168.100.150,52529.0,192.168.100.3,80.0,6,548,RST,1528081967.075031,256194,27.593466,0.141993,0.022606,,,0.283987,0.119388,0.164599,,,,,4,2,428,120,0.181202,0.108721,0.036398,1,DoS,TCP
5000005,1528081939.481567,e g,tcp,192.168.100.150,52532.0,192.168.100.3,80.0,6,548,RST,1528081967.075032,256195,27.593466,0.141993,0.022605,,,0.283986,0.119388,0.164598,,,,,4,2,428,120,0.181202,0.108721,0.036398,1,DoS,TCP
5000006,1528081939.481569,e g,tcp,192.168.100.150,52533.0,192.168.100.3,80.0,6,548,RST,1528081967.075032,256196,27.593464,0.141992,0.022605,,,0.283984,0.119387,0.164597,,,,,4,2,428,120,0.181202,0.108721,0.036398,1,DoS,TCP
5000007,1528081939.48157,e g,tcp,192.168.100.150,52538.0,192.168.100.3,80.0,6,548,RST,1528081967.075033,256197,27.593464,0.126878,0.03772,,,0.253755,0.089158,0.164597,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000008,1528081939.481571,e g,tcp,192.168.100.150,52539.0,192.168.100.3,80.0,6,548,RST,1528081967.075033,256198,27.593462,0.126877,0.03772,,,0.253754,0.089157,0.164597,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000009,1528081939.481573,e g,tcp,192.168.100.150,52542.0,192.168.100.3,80.0,6,548,RST,1528081967.075034,256199,27.59346,0.126876,0.03772,,,0.253752,0.089156,0.164596,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000010,1528081939.481574,e g,tcp,192.168.100.150,52543.0,192.168.100.3,80.0,6,548,RST,1528081967.075035,256200,27.59346,0.126876,0.03772,,,0.253752,0.089156,0.164596,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000011,1528081939.481576,e g,tcp,192.168.100.150,52544.0,192.168.100.3,80.0,6,548,RST,1528081967.075035,256201,27.593458,0.126875,0.03772,,,0.25375,0.089155,0.164595,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000012,1528081939.481579,e g,tcp,192.168.100.150,52545.0,192.168.100.3,80.0,6,548,RST,1528081967.075036,256202,27.593456,0.126874,0.037719,,,0.253748,0.089155,0.164593,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000013,1528081939.48158,e g,tcp,192.168.100.150,52548.0,192.168.100.3,80.0,6,548,RST,1528081967.075036,256203,27.593456,0.126873,0.03772,,,0.253747,0.089154,0.164593,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000014,1528081939.481582,e g,tcp,192.168.100.150,52549.0,192.168.100.3,80.0,6,548,RST,1528081967.075037,256204,27.593454,0.126872,0.03772,,,0.253745,0.089153,0.164592,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000015,1528081939.481583,e g,tcp,192.168.100.150,52554.0,192.168.100.3,80.0,6,548,RST,1528081967.075038,256205,27.593454,0.126872,0.03772,,,0.253745,0.089153,0.164592,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000016,1528081939.481585,e g,tcp,192.168.100.150,52555.0,192.168.100.3,80.0,6,548,RST,1528081967.075038,256206,27.593452,0.126871,0.03772,,,0.253743,0.089152,0.164591,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000017,1528081939.481587,e g,tcp,192.168.100.150,52558.0,192.168.100.3,80.0,6,548,RST,1528081967.075039,256207,27.593452,0.12687,0.037719,,,0.25374,0.089151,0.164589,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000018,1528081939.481588,e g,tcp,192.168.100.150,52559.0,192.168.100.3,80.0,6,548,RST,1528081967.075039,256208,27.593451,0.126869,0.03772,,,0.253739,0.08915,0.164589,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000019,1528081939.48159,e g,tcp,192.168.100.150,52560.0,192.168.100.3,80.0,6,548,RST,1528081967.07504,256209,27.593451,0.126869,0.037719,,,0.253739,0.089151,0.164588,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000020,1528081939.481591,e g,tcp,192.168.100.150,52561.0,192.168.100.3,80.0,6,548,RST,1528081967.07504,256210,27.593449,0.126869,0.037719,,,0.253738,0.08915,0.164588,,,,,4,2,428,120,0.181202,0.108721,0.036358,1,DoS,TCP
5000021,1528081939.481595,e g,tcp,192.168.100.150,52502.0,192.168.100.3,80.0,6,548,RST,1528081967.043386,256211,27.56179,0.142806,0.021837,,,0.285611,0.120969,0.164642,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000022,1528081939.481597,e g,tcp,192.168.100.150,52503.0,192.168.100.3,80.0,6,548,RST,1528081967.043386,256212,27.561789,0.142805,0.021838,,,0.285609,0.120967,0.164642,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000023,1528081939.481599,e g,tcp,192.168.100.150,52504.0,192.168.100.3,80.0,6,548,RST,1528081967.043387,256213,27.561789,0.142804,0.021837,,,0.285608,0.120967,0.164641,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000024,1528081939.4816,e g,tcp,192.168.100.150,52505.0,192.168.100.3,80.0,6,548,RST,1528081967.043388,256214,27.561789,0.142803,0.021838,,,0.285607,0.120966,0.164641,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000025,1528081939.481602,e g,tcp,192.168.100.150,52508.0,192.168.100.3,80.0,6,548,RST,1528081967.043388,256215,27.561787,0.142802,0.021838,,,0.285605,0.120965,0.16464,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000026,1528081939.481603,e g,tcp,192.168.100.150,52509.0,192.168.100.3,80.0,6,548,RST,1528081967.043389,256216,27.561787,0.142802,0.021838,,,0.285605,0.120965,0.16464,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000027,1528081939.481605,e g,tcp,192.168.100.150,52514.0,192.168.100.3,80.0,6,548,RST,1528081967.04339,256217,27.561785,0.142801,0.021838,,,0.285603,0.120964,0.164639,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000028,1528081939.481607,e g,tcp,192.168.100.150,52515.0,192.168.100.3,80.0,6,548,RST,1528081967.04339,256218,27.561783,0.1428,0.021838,,,0.2856,0.120962,0.164638,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000029,1528081939.481609,e g,tcp,192.168.100.150,52518.0,192.168.100.3,80.0,6,548,RST,1528081967.043391,256219,27.561783,0.142799,0.021838,,,0.285599,0.120962,0.164637,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000030,1528081939.481611,e g,tcp,192.168.100.150,52519.0,192.168.100.3,80.0,6,548,RST,1528081967.043392,256220,27.561781,0.142798,0.021838,,,0.285597,0.120961,0.164636,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000031,1528081939.481613,e g,tcp,192.168.100.150,52520.0,192.168.100.3,80.0,6,548,RST,1528081967.043392,256221,27.561779,0.142797,0.021838,,,0.285595,0.12096,0.164635,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000032,1528081939.481615,e g,tcp,192.168.100.150,52521.0,192.168.100.3,80.0,6,548,RST,1528081967.043393,256222,27.561777,0.142797,0.021837,,,0.285594,0.12096,0.164634,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000033,1528081939.481616,e g,tcp,192.168.100.150,52524.0,192.168.100.3,80.0,6,548,RST,1528081967.043393,256223,27.561777,0.142796,0.021838,,,0.285592,0.120958,0.164634,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000034,1528081939.481618,e g,tcp,192.168.100.150,52525.0,192.168.100.3,80.0,6,548,RST,1528081967.043394,256224,27.561775,0.142795,0.021838,,,0.28559,0.120957,0.164633,,,,,4,2,428,120,0.181411,0.108846,0.036442,1,DoS,TCP
5000035,1528081939.48162,e g,tcp,192.168.100.150,52530.0,192.168.100.3,80.0,6,548,RST,1528081967.075029,256225,27.593409,0.141998,0.022633,,,0.283997,0.119365,0.164632,,,,,4,2,428,120,0.181203,0.108722,0.036398,1,DoS,TCP
5000036,1528081939.481621,e g,tcp,192.168.100.150,52531.0,192.168.100.3,80.0,6,548,RST,1528081967.075049,256226,27.593428,0.142007,0.022624,,,0.284015,0.119383,0.164632,,,,,4,2,428,120,0.181203,0.108722,0.036398,1,DoS,TCP
